timestamp,Temperature,Relative Humidity,Wind Speed,Wind Direction
20210201T0900,2.2623367,89.0,12.181625,108.9704
20210201T1000,3.6123366,86.0,12.10157,112.75097
20210201T1100,5.0723367,85.0,9.585739,124.28687
20210201T1200,6.0123363,86.0,6.193674,125.537674
20210201T1300,6.1123366,85.0,7.289445,122.90524
20210201T1400,7.0123363,84.0,3.8268526,131.18591
20210201T1500,7.4423366,85.0,0.35999998,270.0
20210201T1600,7.5123363,86.0,4.896529,287.10272
20210201T1700,7.2123365,88.0,5.8603754,280.61966
20210201T1800,6.7623363,89.0,6.489992,273.17984
20210201T1900,6.4523363,90.0,6.849467,273.0128
20210201T2000,6.0023365,93.0,7.072878,284.74356
20210201T2100,5.5423365,93.0,7.42159,284.03625
20210201T2200,4.9923363,93.0,7.5942073,275.44034
20210201T2300,4.8123364,93.0,7.5942073,275.44034
20210202T0000,4.5123363,93.0,8.28,270.0
20210202T0100,4.3323364,93.0,8.707238,262.875
20210202T0200,4.3523364,93.0,7.9526596,264.80557
20210202T0300,3.9023366,93.0,7.69592,259.2157
20210202T0400,3.7723367,93.0,10.739833,256.42957
20210202T0500,3.8323367,89.0,11.165805,249.22775
20210202T0600,3.3823366,90.0,12.594856,239.03625
20210202T0700,2.9023366,91.0,12.229406,227.38594
20210202T0800,2.2223368,92.0,14.264361,222.95459
20210202T0900,2.9023366,89.0,15.349684,219.28941
20210202T1000,4.2223363,85.0,17.595861,210.76273
20210202T1100,5.0423365,85.0,17.447933,201.8014
20210202T1200,5.6323366,86.0,14.512064,187.12502
20210202T1300,7.2223363,89.0,17.518356,189.46233
20210202T1400,8.102337,86.0,16.73516,198.8247
20210202T1500,9.182337,88.0,19.083395,215.78897
20210202T1600,10.352337,85.0,19.373219,221.98721
20210202T1700,10.392337,89.0,15.281989,223.09085
20210202T1800,10.362336,89.0,17.31746,223.3153
20210202T1900,10.032336,91.0,19.174856,230.33215
20210202T2000,9.382337,94.0,14.773164,226.97495
20210202T2100,9.442336,96.0,16.595179,229.39871
20210202T2200,9.402336,93.0,17.0763,235.30484
20210202T2300,9.132337,95.0,15.530151,224.0608
20210203T0000,8.802337,94.0,18.504139,232.90717
20210203T0100,7.9423366,95.0,14.255272,225.0
20210203T0200,8.072336,95.0,14.658676,204.67686
20210203T0300,8.312337,94.0,16.800856,225.0
20210203T0400,7.9623365,95.0,16.870138,219.80557
20210203T0500,7.8823366,95.0,14.982228,215.21759
20210203T0600,8.012337,95.0,14.57889,212.90524
20210203T0700,7.8323364,97.0,11.631956,201.8014
20210203T0800,8.442336,97.0,15.617529,205.9744
20210203T0900,9.032336,97.0,15.807239,210.06859
20210203T1000,10.282336,93.0,9.255571,193.49573
20210203T1100,10.732336,93.0,13.397612,173.82982
20210203T1200,10.622336,95.0,14.494192,165.6186
20210203T1300,10.552337,95.0,25.516865,196.38954
20210203T1400,11.422337,91.0,25.071096,195.83238
20210203T1500,12.282336,83.0,29.533169,225.98776
20210203T1600,12.162336,72.0,31.765793,231.4416
20210203T1700,11.782336,72.0,31.682043,233.78116
20210203T1800,10.732336,76.0,29.179993,231.009
20210203T1900,10.302337,80.0,28.775238,223.47923
20210203T2000,10.042336,82.0,32.587456,224.10483
20210203T2100,9.902336,83.0,32.61727,232.62419
20210203T2200,9.552337,84.0,32.379993,241.44038
20210203T2300,8.922337,79.0,33.231335,247.04591
20210204T0000,8.082336,80.0,33.72491,253.8866
20210204T0100,8.082336,80.0,29.934166,273.4474
20210204T0200,7.9223366,79.0,20.12461,259.69516
20210204T0300,7.3223367,82.0,21.434364,240.85193
20210204T0400,6.6223364,81.0,25.872454,248.79077
20210204T0500,5.7023363,85.0,22.545315,250.40771
20210204T0600,5.6123366,85.0,19.809813,250.90651
20210204T0700,4.532336,89.0,17.533146,250.82098
20210204T0800,3.6823368,91.0,15.137133,244.65384
20210204T0900,3.9323368,90.0,15.141414,241.60698
20210204T1000,5.1623363,85.0,16.42247,243.99666
20210204T1100,6.4323363,80.0,16.904673,243.43495
20210204T1200,7.6823363,76.0,14.88242,237.84772
20210204T1300,8.652336,73.0,13.684735,234.63754
20210204T1400,9.482336,68.0,13.70839,240.0685
20210204T1500,9.852337,66.0,10.464797,243.43495
20210204T1600,9.852337,64.0,6.297428,239.03625
20210204T1700,9.462337,67.0,4.802999,192.99461
20210204T1800,9.342337,66.0,3.9763298,174.80557
20210204T1900,9.162336,66.0,4.8965297,126.027374
20210204T2000,8.602337,70.0,5.8048253,119.74488
20210204T2100,8.042336,72.0,7.9036193,120.06859
20210204T2200,7.5423365,75.0,5.4833565,113.19859
20210204T2300,6.8023367,79.0,7.5685663,92.72631
20210205T0000,6.2023363,83.0,8.12197,77.19573
20210205T0100,5.8223367,85.0,7.289444,69.77513
20210205T0200,5.7123365,86.0,7.9526596,84.805565
20210205T0300,5.4123363,87.0,5.771239,86.42367
20210205T0400,5.0623364,89.0,6.439876,63.43495
20210205T0500,4.6823363,91.0,7.2,53.130096
20210205T0600,4.7723365,90.0,6.6185193,67.61986
20210205T0700,4.7723365,91.0,5.0142193,111.03751
20210205T0800,4.7523365,92.0,4.510787,118.61046
